row_id,workflow_type,task_count,instance,actual_num_tasks,num_edges,dag_depth,max_parallel_width,critical_path_tasks,num_task_categories,total_input_bytes,platform_name,num_hosts,cores_per_host,total_cores,speed_gf,net_bw,net_lat,disk_bw,watt_idle,watt_busy,makespan_sec,energy_joules
6c70af4153,Genome,250,1,248,324,3,156,3,4,261516988943,lenovo_thinkedge,2,16,32,32.0,3125,0.01,1000,44.7,89,262.5756,23598.89
9130ba3ca0,Genome,250,1,248,324,3,156,3,4,261516988943,dell_r6715,1,160,160,336.0,3125,0.01,1000,72.8,374,261.6553,19056.58
319fc83eef,Genome,250,1,248,324,3,156,3,4,261516988943,dell_r6725,1,320,320,672.0,3125,0.01,1000,135,711,261.6329,35324.29
90160b166f,Genome,250,1,248,324,3,156,3,4,261516988943,lenovo_sr850,1,344,344,688.0,3125,0.01,1000,450,1578,261.6317,117741.14
905e0c9d1d,Genome,250,2,248,325,3,157,3,4,292885605285,lenovo_st45,1,12,12,40.8,3125,0.01,1000,21.5,105,293.6292,6594.91
eab1eb7f52,Genome,250,2,248,325,3,157,3,4,292885605285,lenovo_thinkedge,2,16,32,32.0,3125,0.01,1000,44.7,89,293.7904,26407.87
5c95658844,Genome,250,2,248,325,3,157,3,4,292885605285,dell_r6715,1,160,160,336.0,3125,0.01,1000,72.8,374,293.0401,21342.58
31c5f33667,Genome,250,2,248,325,3,157,3,4,292885605285,dell_r6725,1,320,320,672.0,3125,0.01,1000,135,711,292.9897,39558.03
582fb2526b,Genome,250,2,248,325,3,157,3,4,292885605285,lenovo_sr850,1,344,344,688.0,3125,0.01,1000,450,1578,292.9883,131852.63
4944266a40,Genome,250,3,248,336,3,145,3,4,256260217051,lenovo_st45,1,12,12,40.8,3125,0.01,1000,21.5,105,257.4523,5825.23
efc0ff744e,Genome,250,3,248,336,3,145,3,4,256260217051,lenovo_thinkedge,2,16,32,32.0,3125,0.01,1000,44.7,89,257.6473,23180.8
72d84d1437,Genome,250,3,248,336,3,145,3,4,256260217051,dell_r6715,1,160,160,336.0,3125,0.01,1000,72.8,374,256.4365,18678.1
5ae8c49e1f,Genome,250,3,248,336,3,145,3,4,256260217051,dell_r6725,1,320,320,672.0,3125,0.01,1000,135,711,256.3702,34614.53
98a77b3086,Genome,250,3,248,336,3,145,3,4,256260217051,lenovo_sr850,1,344,344,688.0,3125,0.01,1000,450,1578,256.3686,115373.99
2c40c72939,Genome,250,4,248,338,3,147,3,4,241248793346,lenovo_st45,1,12,12,40.8,3125,0.01,1000,21.5,105,242.6001,5470.36
28c2363d75,Genome,250,4,248,338,3,147,3,4,241248793346,lenovo_thinkedge,2,16,32,32.0,3125,0.01,1000,44.7,89,242.6543,21822.39
058a1ae475,Genome,250,4,248,338,3,147,3,4,241248793346,dell_r6715,1,160,160,336.0,3125,0.01,1000,72.8,374,241.4187,17583.64
a9d837a12c,Genome,250,4,248,338,3,147,3,4,241248793346,dell_r6725,1,320,320,672.0,3125,0.01,1000,135,711,241.3615,32587.8
bed06a56ac,Genome,250,4,248,338,3,147,3,4,241248793346,lenovo_sr850,1,344,344,688.0,3125,0.01,1000,450,1578,241.3608,108619.45
0ee110953c,Genome,250,5,248,339,3,142,3,4,248778174961,lenovo_st45,1,12,12,40.8,3125,0.01,1000,21.5,105,249.8795,5634.31
50509f4d22,Genome,250,5,248,339,3,142,3,4,248778174961,lenovo_thinkedge,2,16,32,32.0,3125,0.01,1000,44.7,89,250.3403,22513.29
0aff68e207,Genome,250,5,248,339,3,142,3,4,248778174961,dell_r6715,1,160,160,336.0,3125,0.01,1000,72.8,374,248.907,18129.03
6cc910ad56,Genome,250,5,248,339,3,142,3,4,248778174961,dell_r6725,1,320,320,672.0,3125,0.01,1000,135,711,248.877,33602.51
